ID,Title,Author,Year,Publisher,ISBN,Format,Language,URL
ol_OL1174969W,Botchan,夏目漱石,1918,P. Owen,9781480222434,Paperback,jpn,https://openlibrary.org/books/OL57529781M
ol_OL5720023W,Twilight,Stephenie Meyer,2005,Little Brown & Company,8420471933,Paperback,pol,https://openlibrary.org/books/OL51172248M
ol_OL893415W,Dune,Frank Herbert,1965,Presse Poket,0425064344,Paperback,eng,https://openlibrary.org/books/OL51999527M
ol_OL2779741W,A town like Alice,Nevil Shute,1950,Pan Books Ltd,9780854564101,Paperback,ger,https://openlibrary.org/books/OL46930409M
ol_OL1673205W,The Godfather,Mario Puzo,1969,G. P. Putnam's Sons,0451094387,Paperback,dut,https://openlibrary.org/books/OL48593945M
ol_OL5819456W,The Book Thief,Markus Zusak,1998,...,0385754728,Paperback,eng,https://openlibrary.org/books/OL44933331M
ol_OL5735363W,The Hunger Games,Suzanne Collins,2008,Mondadori,9780545405775,Paperback,pol,https://openlibrary.org/books/OL51747483M
ol_OL50548W,Beloved,Toni Morrison,1987,Swiat Ksiazki,1784878677,Paperback,jpn,https://openlibrary.org/books/OL47355419M
ol_OL1517879W,The Four Just Men,Edgar Wallace,1905,Franklin Classics Trade Press,9780755114948,Paperback,eng,https://openlibrary.org/books/OL43688098M
ol_OL49488W,Ender's Game,Orson Scott Card,1985,Azbuka,0312854021,Paperback,dut,https://openlibrary.org/books/OL57622046M
ol_OL37819848W,Pinocchio,Carlo Collodi,1921,Digireads.com Publishing,9781974000593,Paperback,ger,https://openlibrary.org/books/OL54821456M
ol_OL5840870W,The Boy in the Striped Pyjamas,John Boyne,2006,Fischer,3596852285,Paperback,fre,https://openlibrary.org/books/OL47307460M
ol_OL1914022W,The Pillars of the Earth,Ken Follett,1989,Luebbe Verlagsgruppe,0330465732,Paperback,swe,https://openlibrary.org/books/OL49240097M
ol_OL81633W,The Shining,Stephen King,1977,Livre de Poche,9780593311233,Paperback,dut,https://openlibrary.org/books/OL57455016M
ol_OL81613W,It,Stephen King,1925,Sperling,9781623300890,Paperback,jpn,https://openlibrary.org/books/OL35596476M
ol_OL81628W,The Gunslinger,Stephen King,1976,Scribner,9788573026030,Paperback,dut,https://openlibrary.org/books/OL35604816M
ol_OL278437W,La sombra del viento,Carlos Ruiz Zafón,2001,Penguin Press,9783458357131,Paperback,nor,https://openlibrary.org/books/OL39803013M
ol_OL5725956W,Artemis Fowl,Eoin Colfer,1999,Mondadori,9789047500445,Paperback,wel,https://openlibrary.org/books/OL47473653M
ol_OL16550682W,Fifty Shades Freed,E. L. James,2011,Hayakawashobō,415209365X,Paperback,srp,https://openlibrary.org/books/OL32281731M
ol_OL76835W,Deception Point,Dan Brown,2001,Booket,9781846174582,Paperback,dut,https://openlibrary.org/books/OL53629528M
ol_OL5720027W,New Moon,Stephenie Meyer,2006,Large Print Pr,8025208990,Paperback,pol,https://openlibrary.org/books/OL47007177M
ol_OL5962664W,The lovely bones,Alice Sebold,2000,Goldmann Wilhelm GmbH,1350326313,Paperback,eng,https://openlibrary.org/books/OL27016262M
ol_OL257943W,A Game of Thrones,George R. R. Martin,1996,Bantam Spectra (US) Voyager Books (UK),0008115400,Paperback,swe,https://openlibrary.org/books/OL57727724M
ol_OL5720022W,Breaking Dawn,Stephenie Meyer,2008,,9781905654307,Paperback,spa,https://openlibrary.org/books/OL57643486M
ol_OL5720025W,Eclipse,Stephenie Meyer,2006,Megan Tingley Books,5170621264,Paperback,fre,https://openlibrary.org/books/OL51574910M
ol_OL17075811W,Sapiens,Yuval Noah Harari,2011,Self-Published,9788845296499,Paperback,hrv,https://openlibrary.org/books/OL51627490M
ol_OL16550681W,Fifty Shades Darker,E. L. James,2011,arrow books,8467251611,Paperback,ita,https://openlibrary.org/books/OL35359731M
ol_OL2172403W,The Man in the High Castle,Philip K. Dick,1962,Bastei Lübbe,9788576574415,Paperback,jpn,https://openlibrary.org/books/OL57210760M
ol_OL81618W,The Stand,Stephen King,1978,Paw Prints 2008-10-04,9780307987587,Paperback,eng,https://openlibrary.org/books/OL54120973M
ol_OL76965W,The Pelican Brief,John Grisham,1992,Doubleday,0440214041,Paperback,rum,https://openlibrary.org/books/OL53249154M
ol_OL5735360W,Catching Fire,Suzanne Collins,2009,Harper,9785170671281,Paperback,dan,https://openlibrary.org/books/OL47296840M
ol_OL28996W,The Amber Spyglass,Philip Pullman,1900,Heyne Wilhelm Verlag Gmbh,1407130242,Paperback,swe,https://openlibrary.org/books/OL8840197M
ol_OL16804289W,Inferno,Dan Brown,2013,Anchor Books,8379991516,Paperback,dut,https://openlibrary.org/books/OL51723831M
ol_OL5682519W,Dog Days,Jeff Kinney,2004,DuoDesign,9783843210324,Paperback,bul,https://openlibrary.org/books/OL32408305M
ol_OL492658W,The Lightning Thief,Rick Riordan,2005,"Publicaciones y Ediciones Salamandra, S.A.",9780141376882,Paperback,chi,https://openlibrary.org/books/OL52252551M
ol_OL2827199W,Life of Pi,Yann Martel,2001,Destino Ediciones,9783100478252,Paperback,nor,https://openlibrary.org/books/OL39208177M
ol_OL15413843W,Mockingjay,Suzanne Collins,2010,Pegasus,9789876092449,Paperback,fre,https://openlibrary.org/books/OL47473738M
ol_OL15269096W,Novels (Pudd'nhead Wilson / Those Extraordinary Twins),Mark Twain,1882,Penguin,1545301980,Paperback,eng,https://openlibrary.org/books/OL47795328M
ol_OL16444438W,The Fault in Our Stars,John Green,2010,Månpocket,9871997000,Paperback,dut,https://openlibrary.org/books/OL36646357M
ol_OL453936W,Good Omens,Neil Gaiman,1990,Rogner und Bernhard bei Zweitausendeins,8528624021,Paperback,cze,https://openlibrary.org/books/OL57726548M
ol_OL679360W,American Gods,Neil Gaiman,2001,Tandem Library,9780062059888,Paperback,chi,https://openlibrary.org/books/OL57449857M
ol_OL17091839W,The Martian,Andy Weir,2011,Broadway books,0553418025,Paperback,eng,https://openlibrary.org/books/OL47698466M
ol_OL15110516W,Rodrick Rules,Jeff Kinney,2007,PUFFIN BOOKS,986848474X,Paperback,spa,https://openlibrary.org/books/OL47453988M
ol_OL36294W,Fille du régent,Alexandre Dumas,1800,G. Routledge,1609776178,Paperback,spa,https://openlibrary.org/books/OL32736670M
ol_OL81601W,On Writing,Stephen King,1999,Plaza y Janés,9788401014451,Paperback,cze,https://openlibrary.org/books/OL35595872M
ol_OL7924103W,The Eye of the World (The Wheel of Time Book 1),Robert Jordan,1990,Orbit,2352945569,Paperback,eng,https://openlibrary.org/books/OL57497200M
ol_OL492646W,The Sea of Monsters,Rick Riordan,2005,Albin Michel,9780545611596,Paperback,eng,https://openlibrary.org/books/OL53339509M
ol_OL16821606W,All the Light We Cannot See,Anthony Doerr,2014,Rainbow,1476746591,Paperback,pol,https://openlibrary.org/books/OL57642987M
ol_OL40873W,The Road,Cormac McCarthy,2006,Contemporary French Fiction,9780330517270,Paperback,heb,https://openlibrary.org/books/OL57727912M
ol_OL81602W,The Eyes of the Dragon,Stephen King,1959,Albin Michel,9780670814589,Paperback,eng,https://openlibrary.org/books/OL35665277M
ol_OL46883W,Prey,Michael Crichton,2002,R. Laffont,0007937792,Paperback,ger,https://openlibrary.org/books/OL43379272M
ol_OL5725961W,Artemis Fowl and the Eternity Code,Eoin Colfer,2003,Folio Junior/Gallimard Jeunesse,1417687282,Paperback,dut,https://openlibrary.org/books/OL53203534M
ol_OL5819895W,Eragon,Christopher Paolini,1998,ROCA EDITORIAL DE LIBROS,9780739330944,Paperback,spa,https://openlibrary.org/books/OL52949487M
ol_OL14871157W,Der Vorleser,Bernhard Schlink,1995,Pantheon,9788433961266,Paperback,heb,https://openlibrary.org/books/OL43321699M
ol_OL15833328W,Stardust,Neil Gaiman,1997,Headline Book Publishing,9780062564344,Paperback,tur,https://openlibrary.org/books/OL43523367M
ol_OL81597W,Cell,Stephen King,2006,Albin Michel,7020127142,Paperback,tur,https://openlibrary.org/books/OL47250530M
ol_OL50564W,Song of Solomon,Toni Morrison,1634,Al Ahliya,0394497848,Paperback,tur,https://openlibrary.org/books/OL26589717M
ol_OL167189W,1st to Die,James Patterson,2001,"Books on Tape, Inc.",9780736661997,Paperback,dut,https://openlibrary.org/books/OL7600973M
ol_OL257939W,A Clash of Kings,George R. R. Martin,1998,Editions France Loisirs,0008322155,Paperback,cat,https://openlibrary.org/books/OL57727739M
ol_OL27471W,The Children of Húrin,J.R.R. Tolkien,2001,Timun Mas Narrativa,9780618894642,Paperback,ita,https://openlibrary.org/books/OL50721900M
ol_OL449277W,Frog and Toad Are Friends,Arnold Lobel,1920,Egmont Childrens Books,9780603558795,Paperback,ita,https://openlibrary.org/books/OL41526016M
ol_OL265426W,Looking for Alaska,John Green,2005,Nube de Tinta,1410477541,Paperback,pol,https://openlibrary.org/books/OL35380965M
ol_OL16224122W,Cabin Fever,Jeff Kinney,2007,Duo Dizayn,9780141337630,Paperback,pol,https://openlibrary.org/books/OL56934369M
ol_OL50565W,The Bluest Eye,Toni Morrison,1970,Recorded Books,8440647182,Paperback,ger,https://openlibrary.org/books/OL50524016M
ol_OL16805415W,Americanah,Chimamanda Ngozi Adichie,1969,Mu Ma Wen Hua,9780007526024,Paperback,tur,https://openlibrary.org/books/OL50564124M
ol_OL2435522W,The No. 1 Ladies' Detective Agency,Alexander McCall Smith,1997,Turtleback Books,9780349119083,Paperback,dut,https://openlibrary.org/books/OL39196607M
ol_OL19568W,Der Ring Aus Stein,Danielle Steel,1980,AST,1410429121,Paperback,tur,https://openlibrary.org/books/OL47060197M
ol_OL453735W,Guards! Guards!,Terry Pratchett,1989,Tandem Library,8381693632,Paperback,ita,https://openlibrary.org/books/OL50726766M
ol_OL30052W,Moods,Louisa May Alcott,1864,Reprint Services Corp,1478375337,Paperback,eng,https://openlibrary.org/books/OL49034999M
ol_OL16547664W,Bring Up the Bodies,Hilary Mantel,2012,Todavia,9781250077608,Paperback,spa,https://openlibrary.org/books/OL57531662M
ol_OL17878702W,Origin,Dan Brown,2013,Random House US,9722534203,Paperback,spa,https://openlibrary.org/books/OL52914286M
ol_OL16142094W,Wonder,R. J. Palacio,2001,Carl Hanser Verlag,9789939831688,Paperback,eng,https://openlibrary.org/books/OL41380147M
ol_OL42740W,War Horse,Michael Morpurgo,1982,Egmont UK,1616574852,Paperback,kor,https://openlibrary.org/books/OL47321571M
ol_OL52943W,Killing floor,Lee Child,1997,Bantam Books,9780754022282,Paperback,ger,https://openlibrary.org/books/OL43103048M
ol_OL5784622W,Män som hatar kvinnor,Stieg Larsson,2005,,8423340449,Paperback,jpn,https://openlibrary.org/books/OL49807343M
ol_OL46887W,Rising Sun,Michael Crichton,1991,Qing zhou chu ban she,9781407078526,Paperback,ita,https://openlibrary.org/books/OL45915908M
ol_OL15845961W,Wild Swans,Jung Chang,1991,CIRCE,9789022517260,Paperback,cat,https://openlibrary.org/books/OL49235481M
ol_OL41246W,Split Second,David Baldacci,2003,Warner Books Inc,1447293509,Paperback,dut,https://openlibrary.org/books/OL50321118M
ol_OL5782000W,A Thousand Splendid Suns,Khaled Hosseini,2007,Hayakawa Shobō,144236419X,Paperback,jpn,https://openlibrary.org/books/OL53064931M
ol_OL17714701W,The Hate U Give,Angie Thomas,2017,Yabanci Yayinevi,9780062871350,Paperback,swe,https://openlibrary.org/books/OL42754649M
ol_OL137390W,The Breaking Point,Mary Roberts Rinehart,1922,CreateSpace Independent Publishing Platform,9781636376639,Paperback,eng,https://openlibrary.org/books/OL49334271M
ol_OL46914W,State of Fear,Michael Crichton,2004,HarperCollins Publishers Ltd,006083319X,Paperback,eng,https://openlibrary.org/books/OL46524884M
ol_OL66218W,Wicked,Gregory Maguire,1995,Editorial Planeta,9780061792946,Paperback,spa,https://openlibrary.org/books/OL57569559M
ol_OL4321141W,The Secret History,Donna Tartt,1992,Anthos,8401327946,Paperback,dut,https://openlibrary.org/books/OL56978555M
ol_OL4082696W,The Corrections,Jonathan Franzen,2001,HarperPerennial,0008503931,Paperback,spa,https://openlibrary.org/books/OL57416784M
ol_OL5725964W,Artemis Fowl and the Arctic Incident,Eoin Colfer,2001,Record,0141312130,Paperback,dut,https://openlibrary.org/books/OL49206169M
ol_OL891923W,My Sister's Keeper,Jodi Picoult,2004,Recorded Books,1982107448,Paperback,ger,https://openlibrary.org/books/OL48120707M
ol_OL16804661W,The Ocean at the End of the Lane,Neil Gaiman,2013,Ithaki,841572957X,Paperback,pol,https://openlibrary.org/books/OL47538201M
ol_OL15192743W,The Ugly Truth,Jeff Kinney,2001,Molino RBA,9789026132377,Paperback,bul,https://openlibrary.org/books/OL49376080M
ol_OL14917748W,Under the Dome,Stephen King,1925,Pocket Books,9789752113244,Paperback,spa,https://openlibrary.org/books/OL47330262M
ol_OL16109210W,Fortunate mistress,Daniel Defoe,1724,Basil Blackwell,1425049796,Paperback,eng,https://openlibrary.org/books/OL6293483M
