ID,ltable_id,rtable_id,ltable_Title,ltable_Author,ltable_Year,ltable_Publisher,ltable_ISBN,ltable_Format,ltable_Language,ltable_URL,rtable_Title,rtable_Author,rtable_Year,rtable_Publisher,rtable_ISBN,rtable_Format,rtable_Language,rtable_URL
494,ol_OL25686728W,gb_XWo0AAAAQBAJ,Captain from Castile,Samuel Shellabarger,2002,"Bridge Works Publishing Company, Incorporated",9781299785403,Paperback,eng,https://openlibrary.org/books/OL34498657M,Captain From Castile,Samuel Shellabarger,2002,Bridgeworks,9781461623380,Paperback,en,https://play.google.com/store/books/details?id=XWo0AAAAQBAJ&source=gbs_api
495,ol_OL37629298W,gb_MpAUjwEACAAJ,Friction,Sandra Brown,2024,Grand Central Publishing,1538768720,Paperback,eng,https://openlibrary.org/books/OL50733972M,Friction,Sandra Brown,2016,Grand Central Publishing,1455581194,Paperback,en,http://books.google.com/books?id=MpAUjwEACAAJ&dq=popular+romance+novels&hl=&as_pt=BOOKS&source=gbs_api
496,ol_OL35760396W,gb_vGLZEAAAQBAJ,In a Holidaze,Christina Lauren,2023,Pocket Books,9781668026601,Paperback,eng,https://openlibrary.org/books/OL48251584M,In a Holidaze,Christina Lauren,2023,Simon and Schuster,9781668026601,Paperback,en,http://books.google.com/books?id=vGLZEAAAQBAJ&dq=new+york+times+bestseller&hl=&as_pt=BOOKS&source=gbs_api
497,ol_OL35862487W,gb_WjNdEAAAQBAJ,Dreamland,Nicholas Sparks,2023,Random House Publishing Group,0593449576,Paperback,eng,https://openlibrary.org/books/OL48405145M,Dreamland,Nicholas Sparks,2022,Hachette UK,9780751585506,Paperback,en,http://books.google.com/books?id=WjNdEAAAQBAJ&dq=new+york+times+bestseller&hl=&as_pt=BOOKS&source=gbs_api
498,ol_OL5705875W,gb_Tc3dAwAAQBAJ,How Harry cast his spell,John Granger,2008,Tyndale House Publishers,9781414321882,Paperback,eng,https://openlibrary.org/books/OL16796428M,How Harry Cast His Spell,John Granger,2009,NavPress,9781414327679,Paperback,en,http://books.google.com/books?id=Tc3dAwAAQBAJ&dq=harry+potter+rowling&hl=&as_pt=BOOKS&source=gbs_api
499,ol_OL19730221W,gb_LFp9DwAAQBAJ,The hush,John Hart,2018,,9781250200495,Paperback,eng,https://openlibrary.org/books/OL26943322M,The Hush,John Hart,2019,St. Martin's Griffin,9781250012289,Paperback,en,http://books.google.com/books?id=LFp9DwAAQBAJ&dq=new+york+times+bestseller&hl=&as_pt=BOOKS&source=gbs_api
500,ol_OL18165748W,gb_1u7PRB5g6FYC,The sense of an ending,Julian Barnes,2012,"Vintage Books, a division of Random House",0307947726,Paperback,eng,https://openlibrary.org/books/OL26643969M,The Sense of an Ending,Julian Barnes,2011,Vintage,9780307957337,Paperback,en,https://play.google.com/store/books/details?id=1u7PRB5g6FYC&source=gbs_api
501,ol_OL19351813W,gb_2SNtAAAAQBAJ,Redeployment,Phil Klay,2015,Penguin Books,9780143126829,Paperback,eng,https://openlibrary.org/books/OL26808450M,Redeployment,Phil Klay,2014,Penguin,9780698151642,Paperback,en,https://play.google.com/store/books/details?id=2SNtAAAAQBAJ&source=gbs_api
502,ol_OL20876944W,gb_zGAQEAAAQBAJ,The Kaiser's Web,Steve Berry,2021,Minotaur Books,125014034X,Paperback,eng,https://openlibrary.org/books/OL28272046M,The Kaiser's Web,Steve Berry,2021,Hachette UK,9781529363968,Paperback,en,http://books.google.com/books?id=zGAQEAAAQBAJ&dq=new+york+times+bestseller&hl=&as_pt=BOOKS&source=gbs_api
503,ol_OL20800266W,gb_fB3QDwAAQBAJ,Moonflower Murders,Anthony Horowitz,2020,Harper,0062955454,Paperback,eng,https://openlibrary.org/books/OL28156825M,Moonflower Murders,Anthony Horowitz,2020,HarperCollins,9780062955470,Paperback,en,https://play.google.com/store/books/details?id=fB3QDwAAQBAJ&source=gbs_api
504,ol_OL20800266W,gb_pApKzAEACAAJ,Moonflower Murders,Anthony Horowitz,2020,Harper,0062955454,Paperback,eng,https://openlibrary.org/books/OL28156825M,Moonflower Murders,Anthony Horowitz,2020,Century,1529124352,Paperback,en,http://books.google.com/books?id=pApKzAEACAAJ&dq=top+mystery+books&hl=&as_pt=BOOKS&source=gbs_api
505,ol_OL18175388W,gb_zrZM0POHzocC,People of the book,Geraldine Brooks,2008,Penguin Books,9780143115007,Paperback,eng,https://openlibrary.org/books/OL24092295M,People of the Book,Geraldine Brooks,2011,HarperCollins UK,9780007379842,Paperback,en,http://books.google.com/books?id=zrZM0POHzocC&dq=pulitzer+prize+winner+book&hl=&as_pt=BOOKS&source=gbs_api
506,ol_OL18167988W,gb_Qa8IoiT_3kAC,Let the great world spin,Colum McCann,2009,Random House Trade Paperbacks,9780812973990,Paperback,eng,https://openlibrary.org/books/OL24088828M,Let the Great World Spin,Colum McCann,2009,Random House,9781588368737,Paperback,en,https://play.google.com/store/books/details?id=Qa8IoiT_3kAC&source=gbs_api
507,ol_OL20319497W,gb_FqyHDwAAQBAJ,The Night Fire,Michael Connelly,2019,"Little, Brown and Company",9780316485616,Paperback,eng,https://openlibrary.org/books/OL27524990M,The Night Fire,Michael Connelly,2019,Hachette UK,9780316457484,Paperback,en,http://books.google.com/books?id=FqyHDwAAQBAJ&dq=best+selling+thriller+books&hl=&as_pt=BOOKS&source=gbs_api
508,ol_OL2025378W,gb_rtJlAAAAMAAJ,The National Book Awards for fiction,Joseph F. Trimmer,1978,G. K. Hall,9780816178988,Paperback,eng,https://openlibrary.org/books/OL4714987M,The National Book Awards for Fiction,Joseph F. Trimmer,1978,Hall Reference Books,,Paperback,en,http://books.google.com/books?id=rtJlAAAAMAAJ&dq=national+book+award+winner&hl=&as_pt=BOOKS&source=gbs_api
