ID,Title,Author,Year,Publisher,ISBN,Format,Language,URL
ol_OL893415W,Dune,Frank Herbert,1965,Orion Pub Co,0792748662,Paperback,spa,https://openlibrary.org/books/OL51999527M
ol_OL2779741W,A town like Alice,Nevil Shute,1950,Book Club,9781095513255,Paperback,spa,https://openlibrary.org/books/OL46930409M
ol_OL1673205W,The Godfather,Mario Puzo,1969,Izd-vo politicheskoĭ literatury,9788498723526,Paperback,eng,https://openlibrary.org/books/OL48593945M
ol_OL5781992W,The Kite Runner,Khaled Hosseini,2003,Albatros,9789023418993,Paperback,fre,https://openlibrary.org/books/OL47190372M
ol_OL5819456W,The Book Thief,Markus Zusak,1998,...,0385754728,Paperback,eng,https://openlibrary.org/books/OL44933331M
ol_OL5735363W,The Hunger Games,Suzanne Collins,2008,RBA,9781407192239,Paperback,eng,https://openlibrary.org/books/OL51747483M
ol_OL1517879W,The Four Just Men,Edgar Wallace,1905,Franklin Classics Trade Press,9780755114948,Paperback,eng,https://openlibrary.org/books/OL43688098M
ol_OL49488W,Ender's Game,Orson Scott Card,1985,Čarobna knjiga,9788477350491,Paperback,dut,https://openlibrary.org/books/OL57622046M
ol_OL50548W,Beloved,Toni Morrison,1987,Christian Bourgois,0783802625,Paperback,kor,https://openlibrary.org/books/OL47355419M
ol_OL37819848W,Pinocchio,Carlo Collodi,1921,Digireads.com Publishing,9781974000593,Paperback,ger,https://openlibrary.org/books/OL54821456M
ol_OL5840870W,The Boy in the Striped Pyjamas,John Boyne,2006,Fischer,3596852285,Paperback,fre,https://openlibrary.org/books/OL47307460M
ol_OL81613W,It,Stephen King,1925,Uitgeverij Luitingh,8466347925,Paperback,spa,https://openlibrary.org/books/OL35596476M
ol_OL1914022W,The Pillars of the Earth,Ken Follett,1989,Plaza y Janés,0330391984,Paperback,spa,https://openlibrary.org/books/OL49240097M
ol_OL81633W,The Shining,Stephen King,1977,ROLYET,0743536991,Paperback,eng,https://openlibrary.org/books/OL57455016M
ol_OL81628W,The Gunslinger,Stephen King,1976,Pocket Books,9788573026030,Paperback,rum,https://openlibrary.org/books/OL35604816M
ol_OL5725956W,Artemis Fowl,Eoin Colfer,1999,Debolsillo,9788418318672,Paperback,cze,https://openlibrary.org/books/OL47473653M
ol_OL278437W,La sombra del viento,Carlos Ruiz Zafón,2001,Planeta,0297858831,Paperback,chi,https://openlibrary.org/books/OL39803013M
ol_OL76835W,Deception Point,Dan Brown,2001,Lübbe,9780552149198,Paperback,jpn,https://openlibrary.org/books/OL53629528M
ol_OL16550682W,Fifty Shades Freed,E. L. James,2011,Arrow,8425349966,Paperback,kor,https://openlibrary.org/books/OL32281731M
ol_OL5720027W,New Moon,Stephenie Meyer,2006,Egmont,1904233872,Paperback,cze,https://openlibrary.org/books/OL47007177M
ol_OL5720022W,Breaking Dawn,Stephenie Meyer,2008,,9781905654307,Paperback,spa,https://openlibrary.org/books/OL57643486M
ol_OL257943W,A Game of Thrones,George R. R. Martin,1996,Glydendal Lyd,9780736695930,Paperback,eng,https://openlibrary.org/books/OL40209111M
ol_OL5720025W,Eclipse,Stephenie Meyer,2006,Megan Tingley Books,5170621264,Paperback,fre,https://openlibrary.org/books/OL51574910M
ol_OL17075811W,Sapiens,Yuval Noah Harari,2011,DVA Dt.Verlags-Anstalt,9788466342285,Paperback,urd,https://openlibrary.org/books/OL51627490M
ol_OL16550681W,Fifty Shades Darker,E. L. James,2011,,9788375085952,Paperback,ger,https://openlibrary.org/books/OL35359731M
ol_OL2172403W,The Man in the High Castle,Philip K. Dick,1962,Unknown,9780241964262,Paperback,ger,https://openlibrary.org/books/OL57210760M
ol_OL76965W,The Pelican Brief,John Grisham,1992,Bantam Books,0307576175,Paperback,ger,https://openlibrary.org/books/OL53249154M
ol_OL81618W,The Stand,Stephen King,1978,J'AI LU,0593314018,Paperback,eng,https://openlibrary.org/books/OL54120973M
ol_OL5735360W,Catching Fire,Suzanne Collins,2009,Harper,9785170671281,Paperback,dan,https://openlibrary.org/books/OL47296840M
ol_OL16804289W,Inferno,Dan Brown,2013,CreateSpace Independent Publishing Platform,9789504932840,Paperback,swe,https://openlibrary.org/books/OL51723831M
ol_OL28996W,The Amber Spyglass,Philip Pullman,1900,Heyne Wilhelm Verlag Gmbh,1407130242,Paperback,swe,https://openlibrary.org/books/OL8840197M
ol_OL5682519W,Dog Days,Jeff Kinney,2004,DuoDesign,9783843210324,Paperback,bul,https://openlibrary.org/books/OL32408305M
ol_OL492658W,The Lightning Thief,Rick Riordan,2005,"Publicaciones y Ediciones Salamandra, S.A.",9780141376882,Paperback,chi,https://openlibrary.org/books/OL52252551M
ol_OL2827199W,Life of Pi,Yann Martel,2001,NXB Văn học,5699369341,Paperback,eng,https://openlibrary.org/books/OL39208177M
ol_OL15413843W,Mockingjay,Suzanne Collins,2010,Pegasus,9789876092449,Paperback,fre,https://openlibrary.org/books/OL47473738M
ol_OL15269096W,Novels (Pudd'nhead Wilson / Those Extraordinary Twins),Mark Twain,1882,Penguin,1545301980,Paperback,eng,https://openlibrary.org/books/OL47795328M
ol_OL16444438W,The Fault in Our Stars,John Green,2010,unknown,0606356339,Paperback,cat,https://openlibrary.org/books/OL36646357M
ol_OL453936W,Good Omens,Neil Gaiman,1990,江苏凤凰文艺出版社,1473227828,Paperback,ita,https://openlibrary.org/books/OL53415142M
ol_OL679360W,American Gods,Neil Gaiman,2001,"William Morrow and Company, In",9781538462096,Paperback,spa,https://openlibrary.org/books/OL57449857M
ol_OL17091839W,The Martian,Andy Weir,2011,Broadway books,0553418025,Paperback,eng,https://openlibrary.org/books/OL47698466M
ol_OL15110516W,Rodrick Rules,Jeff Kinney,2007,PUFFIN BOOKS,986848474X,Paperback,spa,https://openlibrary.org/books/OL47453988M
ol_OL81601W,On Writing,Stephen King,1999,Shang zhou chu ban,9780671024253,Paperback,ukr,https://openlibrary.org/books/OL35595872M
ol_OL7924103W,The Eye of the World (The Wheel of Time Book 1),Robert Jordan,1990,Gao fu guo ji wen hua chu ban,9780747409878,Paperback,eng,https://openlibrary.org/books/OL57497200M
ol_OL36294W,Fille du régent,Alexandre Dumas,1800,Louis Conard,1973460653,Paperback,chi,https://openlibrary.org/books/OL32736670M
ol_OL492646W,The Sea of Monsters,Rick Riordan,2005,PUFFIN,0545003407,Paperback,chi,https://openlibrary.org/books/OL53339509M
