ID,Title,Author,Year,Publisher,ISBN,Format,Language,URL
gb_QenWDwAAQBAJ,Nightingale House,Steve Frech,2020,HarperCollins UK,9780008372187,Paperback,en,https://play.google.com/store/books/details?id=QenWDwAAQBAJ&source=gbs_api
gb_FiFbAAAAMAAJ,"""An Artist is His Own Fault""",John O'Hara,1977,,,Paperback,en,http://books.google.com/books?id=FiFbAAAAMAAJ&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_NR4CF9x1o0gC,Virginia Woolf Icon,Brenda R. Silver,1999,University of Chicago Press,0226757463,Paperback,en,http://books.google.com/books?id=NR4CF9x1o0gC&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb__iVbAAAAMAAJ,"The Responsibilities of the Novelist, and Other Literary Essays",Frank Norris,1903,,,Paperback,en,https://play.google.com/store/books/details?id=_iVbAAAAMAAJ&source=gbs_api
gb_SZFuAAAAMAAJ,Fifth Avenue,Arthur Bartlett Maurice,1918,IndyPublish.com,,Paperback,en,https://play.google.com/store/books/details?id=SZFuAAAAMAAJ&source=gbs_api
gb_VlcOAAAAIAAJ,Fantastic Lives,Martin Harry Greenberg,1981,,,Paperback,en,http://books.google.com/books?id=VlcOAAAAIAAJ&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_LzalpNY4lEIC,"The Presence is in Exile, Too",Hanan J. Ayalti,1997,,1881320227,Paperback,en,http://books.google.com/books?id=LzalpNY4lEIC&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_TVCjvgdlogwC,Hidden Treasure,John Thomas Simpson,1919,IndyPublish.com,,Paperback,en,https://play.google.com/store/books/details?id=TVCjvgdlogwC&source=gbs_api
gb_HsBmUGlOln0C,The Life and Romances of Mrs. Eliza Haywood,George Frisbie Whicher,1915,IndyPublish.com,,Paperback,en,https://play.google.com/store/books/details?id=HsBmUGlOln0C&source=gbs_api
gb_rnEAAAAAYAAJ,The Mill on the Floss,George Eliot,1914,,,Paperback,en,https://play.google.com/store/books/details?id=rnEAAAAAYAAJ&source=gbs_api
gb_R0tXSu5tDUEC,Whole Lotta Trouble,Stephanie Bond,2004,Harper Collins,9780061842474,Paperback,en,http://books.google.com/books?id=R0tXSu5tDUEC&dq=subject:fiction+best+sellers&hl=&as_pt=BOOKS&source=gbs_api
gb_NTNjAAAAMAAJ,Tramping on Life,Harry Kemp,1922,IndyPublish.com,,Paperback,en,https://play.google.com/store/books/details?id=NTNjAAAAMAAJ&source=gbs_api
gb_OiIOAAAAIAAJ,Author's Digest,Rossiter Johnson,1908,,,Paperback,en,https://play.google.com/store/books/details?id=OiIOAAAAIAAJ&source=gbs_api
gb_sSmPuLOBhZUC,Authors Digest: Edmund About to Émile Zola,Rossiter Johnson,1927,,,Paperback,en,https://play.google.com/store/books/details?id=sSmPuLOBhZUC&source=gbs_api
gb_MOIQAAAAYAAJ,The Gay Cockade,Temple Bailey,1921,IndyPublish.com,,Paperback,en,https://play.google.com/store/books/details?id=MOIQAAAAYAAJ&source=gbs_api
gb_sP9VeGC2YdYC,Edmund About to Émile Zola,Rossiter Johnson,1908,,,Paperback,en,https://play.google.com/store/books/details?id=sP9VeGC2YdYC&source=gbs_api
gb__bMKAAAAYAAJ,A Diversity of Creatures,Rudyard Kipling,1917,IndyPublish.com,,Paperback,en,https://play.google.com/store/books/details?id=_bMKAAAAYAAJ&source=gbs_api
gb_Krk_AAAAYAAJ,Mr. Dooley Says,Finley Peter Dunne,1910,IndyPublish.com,,Paperback,en,https://play.google.com/store/books/details?id=Krk_AAAAYAAJ&source=gbs_api
gb_b-sUAAAAIAAJ,Approaches and Reactions in Six Nineteenth-century Fictionists,Stockton Axson,1916,,,Paperback,en,https://play.google.com/store/books/details?id=b-sUAAAAIAAJ&source=gbs_api
gb_7b5CAQAAMAAJ,Anne's House of Dreams,Lucy Maud Montgomery,1917,,,Paperback,en,https://play.google.com/store/books/details?id=7b5CAQAAMAAJ&source=gbs_api
gb_jfIWAAAAYAAJ,Superseded,May Sinclair,1906,,,Paperback,en,https://play.google.com/store/books/details?id=jfIWAAAAYAAJ&source=gbs_api
gb_gvU0AAAAMAAJ,Wilt Thou Torchy,Sewell Ford,1917,IndyPublish.com,,Paperback,en,https://play.google.com/store/books/details?id=gvU0AAAAMAAJ&source=gbs_api
gb_ztINAAAAYAAJ,Essays on Modern Novelists,William Lyon Phelps,1910,,,Paperback,en,https://play.google.com/store/books/details?id=ztINAAAAYAAJ&source=gbs_api
gb_h5xAAAAAIAAJ,Every Soul Hath Its Song,Fannie Hurst,1916,IndyPublish.com,,Paperback,en,https://play.google.com/store/books/details?id=h5xAAAAAIAAJ&source=gbs_api
